Data Entry Group Member,Route Number,Side of Street,Relative Spot Number,Absolute Spot Number,Regulation,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,Street Name,Street Direction,Start Bound Street,End Bound Street
Ysabelle,3b,Right,1,59,Unrestricted,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Massachusetts Avenue,North,Chester Square - Exit,Tremont Street
Ysabelle,3b,Right,2,60,Unrestricted,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Massachusetts Avenue,North,Chester Square - Exit,Tremont Street
Ysabelle,3b,Right,3,61,Unrestricted,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Massachusetts Avenue,North,Chester Square - Exit,Tremont Street
Ysabelle,4,Right,1,62,Metered,Occupied,Unoccupied,Occupied,Unoccupied,Occupied,Unoccupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Tremont Street,West,Massachusetts Avenue,W. Springfield Street
Ysabelle,4,Right,2,63,Metered,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Tremont Street,West,Massachusetts Avenue,W. Springfield Street
Ysabelle,4,Right,3,64,Metered,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Tremont Street,West,Massachusetts Avenue,W. Springfield Street
Ysabelle,4,Right,4,65,Metered,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Tremont Street,West,Massachusetts Avenue,W. Springfield Street
Ysabelle,5,Right,1,66,Metered,Occupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Tremont Street,East,W. Springfield Street,Massachusetts Avenue
Ysabelle,5,Right,2,67,Metered,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Unoccupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,East,W. Springfield Street,Massachusetts Avenue
Ysabelle,5,Right,3,68,Metered,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,East,W. Springfield Street,Massachusetts Avenue
Ysabelle,5,Right,4,69,Metered,Occupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Tremont Street,East,W. Springfield Street,Massachusetts Avenue
Ysabelle,6,Right,1,70,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,East,Massachusetts Avenue,Northampton Street
Ysabelle,6,Right,2,71,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,East,Massachusetts Avenue,Northampton Street
Ysabelle,6,Right,3,72,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,East,Massachusetts Avenue,Northampton Street
Ysabelle,6,Right,4,73,Unrestricted,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,East,Massachusetts Avenue,Northampton Street
Ysabelle,6,Right,1,74,Unrestricted,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Unoccupied,Occupied,Occupied,Tremont Street,East,Massachusetts Avenue,Northampton Street
Ysabelle,6,Right,2,75,Unrestricted,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Tremont Street,East,Massachusetts Avenue,Northampton Street
Ysabelle,6,Right,1,76,Unrestricted,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Tremont Street,East,Massachusetts Avenue,Northampton Street
Ysabelle,7,Right,1,77,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,West,Northampton Street,Massachusetts Avenue
Ysabelle,7,Right,2,78,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,West,Northampton Street,Massachusetts Avenue
Ysabelle,7,Right,1,79,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,West,Northampton Street,Massachusetts Avenue
Ysabelle,7,Right,2,80,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Tremont Street,West,Northampton Street,Massachusetts Avenue
Ysabelle,7,Right,3,81,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,West,Northampton Street,Massachusetts Avenue
Ysabelle,7,Right,1,82,Unrestricted,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Tremont Street,West,Northampton Street,Massachusetts Avenue
Ysabelle,7,Right,2,83,Unrestricted,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Tremont Street,West,Northampton Street,Massachusetts Avenue
Ysabelle,7,Right,1,84,Unrestricted,Occupied,Occupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Tremont Street,West,Northampton Street,Massachusetts Avenue
Ysabelle,7,Right,2,85,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Occupied,Occupied,Occupied,Tremont Street,West,Northampton Street,Massachusetts Avenue
Ysabelle,8,Right,1,86,Unrestricted,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Massachusetts Avenue,South,Tremont Street,Chester Square - Entrance
Ysabelle,8,Right,2,87,Unrestricted,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Massachusetts Avenue,South,Tremont Street,Chester Square - Entrance
Ysabelle,8,Right,3,88,Unrestricted,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Massachusetts Avenue,South,Tremont Street,Chester Square - Entrance
Ysabelle,8,Right,4,89,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Unoccupied,Occupied,Occupied,Occupied,Massachusetts Avenue,South,Tremont Street,Chester Square - Entrance
Ysabelle,8,Right,1,90,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Massachusetts Avenue,South,Tremont Street,Chester Square - Entrance
Ysabelle,8,Right,2,91,Unrestricted,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Massachusetts Avenue,South,Tremont Street,Chester Square - Entrance
